text,date,likes,comments,reposts,url
Product Review: My 4-month old son. hashtag # CorporateDad,3w,6884,446,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
We're VCs... wE'rE VaLUe AdD *hahahah*,1m,1199,42,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
Selling at your desk or selling by the pool a true Sales Savage knows no chill. hashtag # sales,1m,1379,74,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
It's important to teach young sellers that quota never sleeps. hashtag # sales,1m,3900,161,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
Ask a recruiter if Sales®️ is right for you!,1m,1697,101,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
"TO: All Enterprise-Level Humans Who Can Expense This (or not) FROM: Your Favorite Account Executive (Me) RE: The Time Of Your FKin Life Greetings Revenue Generators, It's time to leverage synergies and ideate solutions... But do it on a golf course. THE CORP CLASSIC 2025 📅 Tournament Date: September 11th @ 1:00 PM (Shotgun Start - no you can't dial in) 📍Location: Presidio Golf Course, San Francisco 🎯Format: 2-Person Teams (Front 9 Scramble, Back 9 Best Ball) 💰Investment: $250 per golfer (Early Bird Special) 𝐖𝐡𝐚𝐭 𝐭𝐨 𝐞𝐱𝐩𝐞𝐜𝐭 ✅ Light bites and premium beverages (because closed deals deserve open bars) ✅ Cash prizes for winners (finally, ROI you can deposit) ✅ Networking with other people who also lie about their handicap ✅ The chance to finally use those golf lessons you expensed as `professional development` ✅ Two-person team format: Front 9 scramble, Back 9 best ball (aka maximum opportunities for your partner to carry you) ✅ Prize for `Most Creative Excuse for Missing the Fairwa Dress Code: Business Casual Golf Attire (Translation: golf shirts that cost more than your SDR's monthly car payment) RSVP Required: 🚨 EARLY BIRD REGISTRATION GOES LIVE: Monday, June 30th @ 9:00 AM PST on The Corp Classic website (Set your calendar reminders now) Want Tournament Updates? Join our mailing list to stay in the loop about Corp Classic news and future events that'll make your LinkedIn feed jealous. Thinking Bigger? Sponsorship opportunities available - email info@thecorpclassic(dot)com to discuss how your brand can dominate the fairway. Pro Tip: Your boss will be there, so this is basically a performance review disguised as recreational activity. Plan accordingly. P.S. - If you're still reading this, you're probably not busy enough and need to go pick up the phone. You're definitely invited though. Let's make this the most legendary corporate outing since the invention of the company retreat trust fall. -- Corpy B Senior Director of Fairways `Always be golfing`",2m,966,107,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
When the Meeting Could Have Been an Email. Try Microsoft 365 Copilot using the link below! hashtag # Microsoft365Partner hashtag # CouldHaveBeenAnEmail hashtag # ad,2m,290,8,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
"Starbucks finally banned me. The crime? Turning their stores into my personal call centers. Baristas complained about my `aggressive phone presence.` I explained that their weak lavender lattes could never match the intensity of my coffee - which is just a proprietary blend of Allegra, Lexapro, and Ethiopian coffee beans. One sip and I can smell fear through the phone. I decided to set up my own coffee cart outside their corporate HQ. Called it `Grounds for Closing.` Every cup comes with a business card. Starbucks CEO Brian Niccol himself came down to shut me down. Not only did he leave with a $9 cup of coffee, but also a $5.4M software contract. Now Starbucks is my biggest client. They still won't let me in their stores. That's fine. Corp doesn't need their WiFi. Corp IS the WiFi.",2m,1776,74,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
ChatGPT: Please help tell my boss my pipeline is not updated.,2m,1338,59,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
"My son asked me to read him a bedtime story. I read him my 2016 Q4 sales numbers instead. He fell asleep faster than any fairy tale could manage. When he woke up, he asked what a `pipeline` was. I explained it's where dreams go to become commission. He's 8 weeks old and already understands BANT qualification better than most SDRs. His teacher called my wife concerned because he's been `closing` other kids on trading lunch items. Apparently he's cornering the chocolate milk market. It's crazy because he can’t even talk yet. That's my boy. Some parents worry about screen time. I worry my kid isn't spending enough time in Salesforce. Thinking of pulling him out of school to shadow me on calls. Traditional education is dead. Cold calling is forever.",2m,7669,256,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
Raising a deal thirsty sales savage isn't easy.,2m,2826,225,0,https://www.linkedin.com/in/corporatebro?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAgDeQsBOjf1PW9WshszVGXT5gMsD6kYufU
