text,date,likes,comments,reposts,url
"Honestly, shout out to Gen Z for treating LinkedIn like a personal diary - I’m here for it.",12h,568,38,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
"*updating my resume after somehow working a full day today* Successfully maintained focus and productivity during Taylor Swift/Travis Kelce engagement announcement, demonstrating exceptional attention management and social media resistance skills in high-distraction corporate environment.",1d,1654,42,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
IT'S A LOVE STORY,1d,2540,180,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
It's always the `Engage` conference isn't it?,1d,765,60,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
What message response do you hate the most?,2d,562,43,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
Does anyone else feel sheer elation when your 4:30PM meeting gets cancelled?,1w,1264,87,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
No more questions please. I’m literally begging,1w,632,40,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
"Sneak peak into a silly little day in my life! Feel free to make fun of me for my early morning wake up in the comments. If you're interested in ExpandVA , check it out at the link in my comments!",2w,777,41,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
Is the 'office culture' in the room with us?,2w,1700,78,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
"Can I add `Maid of Honor` to my LinkedIn? `Feeling humbled and honored to announce that I successfully planned and executed a bachelorette for 18 girls, showing my core strengths of leadership, logistics, and keeping 18 drunk girls alive in a new city”",2w,3795,159,0,https://www.linkedin.com/in/natalie-corporate-natalie-0b634a231?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADnkvAoB69W0y_4ToD3SzIANnL3LlXg6hTE
